,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay
172,542222,207728,mobile,ended,156.0,,,2.0,36.0,late
173,542300,307595,mobile,ended,,539897.0,30.0,,,on time
175,542339,322005,mobile,ended,12.0,,,0.0,12.0,late
176,542374,409676,mobile,ended,50.0,540444.0,180.0,0.0,50.0,late
177,542400,315909,mobile,ended,-7.0,,,-1.0,53.0,early
179,542520,401751,mobile,ended,183.0,,,3.0,3.0,late
181,542661,391512,mobile,ended,-170.0,,,-3.0,10.0,early
182,542894,218964,mobile,ended,-36.0,,,-1.0,24.0,early
183,542942,358082,connect,ended,-106.0,,,-2.0,14.0,early
184,543012,393044,mobile,ended,9.0,,,0.0,9.0,late
185,543050,379428,mobile,ended,-21.0,,,-1.0,39.0,early
186,543088,200316,mobile,ended,64.0,,,1.0,4.0,late
187,543150,410052,mobile,ended,23.0,,,0.0,23.0,late
188,543180,350521,mobile,ended,14.0,,,0.0,14.0,late
189,543186,395671,mobile,ended,5.0,,,0.0,5.0,late
190,543243,344149,mobile,ended,300.0,,,5.0,0.0,late
191,543251,409296,mobile,ended,-18.0,,,-1.0,42.0,early
192,543257,389929,mobile,ended,,,,,,on time
193,543287,377312,mobile,ended,12.0,,,0.0,12.0,late
194,543321,371572,connect,ended,48.0,,,0.0,48.0,late
195,543328,358772,connect,ended,-9.0,552619.0,240.0,-1.0,51.0,early
196,543437,409808,mobile,ended,-57.0,,,-1.0,3.0,early
197,543443,356551,connect,ended,-529.0,,,-9.0,11.0,early
198,543464,399161,mobile,ended,670.0,,,11.0,10.0,late
199,543614,378939,mobile,ended,-1087.0,,,-19.0,53.0,early
200,543676,390481,mobile,ended,-53.0,,,-1.0,7.0,early
201,543679,225795,connect,ended,64.0,540663.0,540.0,1.0,4.0,late
202,543681,368432,mobile,ended,2.0,,,0.0,2.0,late
203,543761,294189,mobile,ended,24.0,,,0.0,24.0,late
205,543780,319708,mobile,ended,55.0,,,0.0,55.0,late
206,543808,369230,mobile,ended,75.0,536315.0,60.0,1.0,15.0,late
207,543879,270665,mobile,ended,,,,,,on time
208,543906,401666,mobile,ended,,,,,,on time
209,543984,313085,mobile,ended,-44.0,,,-1.0,16.0,early
210,544164,301301,connect,ended,-244.0,,,-5.0,56.0,early
211,544167,306607,connect,ended,337.0,,,5.0,37.0,late
212,544197,387939,connect,ended,39.0,,,0.0,39.0,late
213,544443,337047,mobile,ended,56.0,,,0.0,56.0,late
215,544586,312389,mobile,ended,31.0,,,0.0,31.0,late
216,544617,367627,mobile,ended,-23.0,,,-1.0,37.0,early
218,544763,394781,mobile,ended,233.0,,,3.0,53.0,late
219,544777,387810,connect,ended,50.0,,,0.0,50.0,late
220,544937,348400,mobile,ended,108.0,,,1.0,48.0,late
221,544967,373545,mobile,ended,56.0,,,0.0,56.0,late
222,544980,350135,mobile,ended,-2.0,,,-1.0,58.0,early
223,545064,194343,connect,ended,74.0,,,1.0,14.0,late
224,545068,374684,mobile,ended,-31.0,,,-1.0,29.0,early
225,545171,292910,mobile,ended,7.0,,,0.0,7.0,late
227,545214,363658,mobile,ended,302.0,,,5.0,2.0,late
228,545272,370585,connect,ended,-98.0,,,-2.0,22.0,early
229,545319,353251,mobile,ended,93.0,,,1.0,33.0,late
230,545320,224133,mobile,ended,20.0,,,0.0,20.0,late
232,545357,408467,mobile,ended,,,,,,on time
233,545438,393172,connect,ended,-467.0,,,-8.0,13.0,early
235,545741,409096,mobile,ended,20.0,,,0.0,20.0,late
236,545763,366310,mobile,ended,69.0,,,1.0,9.0,late
237,545782,382901,mobile,ended,-9.0,,,-1.0,51.0,early
238,545922,409695,mobile,ended,-80.0,,,-2.0,40.0,early
239,545947,396470,mobile,ended,-44.0,,,-1.0,16.0,early
240,546024,381038,mobile,ended,163.0,,,2.0,43.0,late
241,546150,242106,mobile,ended,-2.0,,,-1.0,58.0,early
243,546169,409274,mobile,ended,10.0,,,0.0,10.0,late
244,546252,408509,mobile,ended,-52.0,,,-1.0,8.0,early
246,546477,383309,mobile,ended,16.0,548486.0,660.0,0.0,16.0,late
247,546484,409391,mobile,ended,92.0,,,1.0,32.0,late
249,546564,392732,mobile,ended,7.0,,,0.0,7.0,late
250,546738,288953,mobile,ended,,,,,,on time
251,546745,342645,connect,ended,-55.0,,,-1.0,5.0,early
252,546822,394781,mobile,ended,30.0,,,0.0,30.0,late
253,546865,399535,mobile,ended,261.0,,,4.0,21.0,late
254,546888,295783,connect,ended,84.0,,,1.0,24.0,late
255,546935,348526,connect,ended,85.0,,,1.0,25.0,late
256,546938,410452,mobile,ended,10.0,,,0.0,10.0,late
257,546957,405122,mobile,ended,-113.0,,,-2.0,7.0,early
258,546991,377219,connect,ended,423.0,,,7.0,3.0,late
259,547033,276276,mobile,ended,500.0,,,8.0,20.0,late
260,547039,409872,mobile,ended,,,,,,on time
262,547122,385574,connect,ended,-5.0,,,-1.0,55.0,early
263,547160,409344,mobile,ended,1.0,,,0.0,1.0,late
264,547177,214635,connect,ended,-548.0,,,-10.0,52.0,early
265,547188,231676,mobile,ended,266.0,535868.0,30.0,4.0,26.0,late
266,547198,381684,mobile,ended,145.0,,,2.0,25.0,late
267,547223,188944,connect,ended,8.0,,,0.0,8.0,late
268,547236,392147,mobile,ended,-8.0,,,-1.0,52.0,early
269,547348,374614,mobile,ended,74.0,,,1.0,14.0,late
270,547557,408406,mobile,ended,126.0,,,2.0,6.0,late
271,548028,409718,mobile,ended,15.0,,,0.0,15.0,late
273,548215,367346,mobile,ended,-8.0,,,-1.0,52.0,early
274,548279,317330,connect,ended,-692.0,,,-12.0,28.0,early
275,548352,409458,mobile,ended,195.0,,,3.0,15.0,late
278,548598,288973,mobile,ended,-133.0,,,-3.0,47.0,early
279,548603,363820,mobile,ended,-22.0,,,-1.0,38.0,early
280,548646,282893,mobile,ended,201.0,,,3.0,21.0,late
281,548702,406104,mobile,ended,21.0,,,0.0,21.0,late
282,548897,278005,mobile,ended,-307.0,,,-6.0,53.0,early
283,548904,373316,mobile,ended,-40.0,,,-1.0,20.0,early
284,548912,411521,mobile,ended,225.0,553683.0,60.0,3.0,45.0,late
286,549047,369608,mobile,ended,-37.0,,,-1.0,23.0,early
288,549261,360829,mobile,ended,-12.0,,,-1.0,48.0,early
289,549266,411687,mobile,ended,-11.0,,,-1.0,49.0,early
290,549273,175887,connect,ended,-26.0,,,-1.0,34.0,early
291,549290,364907,connect,ended,-49.0,,,-1.0,11.0,early
292,549340,181607,mobile,ended,381.0,,,6.0,21.0,late
293,549345,369881,connect,ended,22.0,,,0.0,22.0,late
294,549444,177058,mobile,ended,144.0,,,2.0,24.0,late
295,549446,391174,mobile,ended,69.0,,,1.0,9.0,late
296,549499,408814,mobile,ended,19.0,,,0.0,19.0,late
297,549558,328016,mobile,ended,10.0,,,0.0,10.0,late
298,549579,273263,mobile,ended,-5.0,,,-1.0,55.0,early
299,549674,390702,connect,ended,-127.0,,,-3.0,53.0,early
300,549692,358131,mobile,ended,-158.0,,,-3.0,22.0,early
301,549808,310219,connect,ended,54.0,,,0.0,54.0,late
302,549874,409690,mobile,ended,3.0,,,0.0,3.0,late
303,549901,383481,mobile,ended,201.0,,,3.0,21.0,late
304,549923,407730,mobile,ended,167.0,,,2.0,47.0,late
305,549983,356540,mobile,ended,,,,,,on time
306,550000,378182,mobile,ended,-136.0,,,-3.0,44.0,early
307,550134,294883,mobile,ended,-158.0,,,-3.0,22.0,early
308,550211,407838,mobile,ended,20.0,,,0.0,20.0,late
309,550224,358567,connect,ended,-7.0,,,-1.0,53.0,early
310,550246,408578,mobile,ended,-15.0,,,-1.0,45.0,early
311,550248,382901,mobile,ended,-127.0,545782.0,60.0,-3.0,53.0,early
312,550459,295815,mobile,ended,82.0,,,1.0,22.0,late
313,550537,239798,connect,ended,37.0,,,0.0,37.0,late
314,550660,399967,mobile,ended,0.0,,,0.0,0.0,on time
315,550723,380886,mobile,ended,,545855.0,120.0,,,on time
316,550808,346652,connect,ended,-41.0,,,-1.0,19.0,early
317,550929,310681,connect,ended,-25.0,,,-1.0,35.0,early
319,551031,409711,mobile,ended,-1283.0,,,-22.0,37.0,early
320,551040,383343,mobile,ended,40.0,,,0.0,40.0,late
321,551069,359880,connect,ended,-22.0,549192.0,180.0,-1.0,38.0,early
322,551108,291723,mobile,ended,211.0,,,3.0,31.0,late
323,551128,382939,mobile,ended,97.0,,,1.0,37.0,late
324,551137,295783,connect,ended,16.0,,,0.0,16.0,late
325,551179,304570,mobile,ended,536.0,,,8.0,56.0,late
326,551227,341710,mobile,ended,159.0,,,2.0,39.0,late
327,551311,409112,mobile,ended,,,,,,on time
328,551317,283001,mobile,ended,-7.0,,,-1.0,53.0,early
329,551364,406062,connect,ended,34.0,,,0.0,34.0,late
330,551429,277888,mobile,ended,203.0,,,3.0,23.0,late
331,551591,304055,mobile,ended,,,,,,on time
332,551679,381233,mobile,ended,275.0,,,4.0,35.0,late
334,551795,382793,mobile,ended,-193.0,,,-4.0,47.0,early
335,551868,409330,mobile,ended,,,,,,on time
336,551907,171249,mobile,ended,11.0,,,0.0,11.0,late
337,552204,348625,mobile,ended,91.0,,,1.0,31.0,late
338,552209,412676,mobile,ended,23.0,,,0.0,23.0,late
339,552233,245154,connect,ended,4.0,,,0.0,4.0,late
340,552265,408202,mobile,ended,-28.0,,,-1.0,32.0,early
342,552330,384657,connect,ended,23.0,554800.0,0.0,0.0,23.0,late
343,552342,376619,mobile,ended,-965.0,547312.0,0.0,-17.0,55.0,early
344,552389,307335,mobile,ended,6.0,,,0.0,6.0,late
345,552425,385625,connect,ended,-102.0,550476.0,30.0,-2.0,18.0,early
346,552448,364662,mobile,ended,-232.0,,,-4.0,8.0,early
347,552524,173061,connect,ended,-22.0,,,-1.0,38.0,early
348,552655,406081,mobile,ended,322.0,,,5.0,22.0,late
349,552677,323777,mobile,ended,31.0,,,0.0,31.0,late
350,552700,348673,mobile,ended,63.0,,,1.0,3.0,late
351,552716,294883,mobile,ended,10.0,,,0.0,10.0,late
352,552850,315136,connect,ended,40.0,,,0.0,40.0,late
353,552964,384385,mobile,ended,20.0,,,0.0,20.0,late
354,553033,381331,mobile,ended,,,,,,on time
355,553153,276924,mobile,ended,5.0,,,0.0,5.0,late
356,553240,362608,mobile,ended,,,,,,on time
357,553354,401166,mobile,ended,7.0,,,0.0,7.0,late
358,553356,381684,mobile,ended,-1.0,,,-1.0,59.0,early
359,553367,385783,mobile,ended,24.0,519328.0,150.0,0.0,24.0,late
360,553511,363658,mobile,ended,170.0,,,2.0,50.0,late
361,553532,355444,connect,ended,-20.0,,,-1.0,40.0,early
362,553660,412936,mobile,ended,-3.0,,,-1.0,57.0,early
363,553726,347847,mobile,ended,-36.0,,,-1.0,24.0,early
364,553730,390976,connect,ended,-29.0,,,-1.0,31.0,early
365,553755,393972,mobile,ended,1.0,,,0.0,1.0,late
366,553795,402528,connect,ended,11.0,,,0.0,11.0,late
368,553984,410694,mobile,ended,-148.0,,,-3.0,32.0,early
369,554021,411852,mobile,ended,,,,,,on time
370,554025,293785,mobile,ended,37.0,,,0.0,37.0,late
371,554508,241021,connect,ended,-37.0,,,-1.0,23.0,early
372,554572,380002,mobile,ended,358.0,,,5.0,58.0,late
373,554581,406629,mobile,ended,-5.0,,,-1.0,55.0,early
375,554695,402993,mobile,ended,17.0,560722.0,720.0,0.0,17.0,late
376,555081,311353,mobile,ended,-72.0,,,-2.0,48.0,early
377,555083,328013,mobile,ended,161.0,,,2.0,41.0,late
378,555131,324889,mobile,ended,146.0,,,2.0,26.0,late
379,555458,351168,mobile,ended,-919.0,,,-16.0,41.0,early
380,555600,391519,connect,ended,-95.0,,,-2.0,25.0,early
381,555659,260298,mobile,ended,,,,,,on time
383,555794,327585,mobile,ended,19.0,,,0.0,19.0,late
384,555813,360548,mobile,ended,-26.0,,,-1.0,34.0,early
386,555992,375774,mobile,ended,58.0,,,0.0,58.0,late
387,556072,320670,mobile,ended,21.0,,,0.0,21.0,late
388,556079,374298,connect,ended,-1019.0,,,-17.0,1.0,early
390,556143,407632,mobile,ended,181.0,,,3.0,1.0,late
393,556483,413896,mobile,ended,14.0,,,0.0,14.0,late
394,556488,296213,mobile,ended,8.0,,,0.0,8.0,late
395,556580,397878,mobile,ended,77.0,,,1.0,17.0,late
396,556608,368275,mobile,ended,-12.0,,,-1.0,48.0,early
397,556648,332548,mobile,ended,-581.0,,,-10.0,19.0,early
398,556696,234356,mobile,ended,59.0,,,0.0,59.0,late
399,556755,395962,mobile,ended,98.0,,,1.0,38.0,late
400,556986,402773,mobile,ended,23.0,,,0.0,23.0,late
401,556999,406205,mobile,ended,14.0,,,0.0,14.0,late
402,557296,387427,mobile,ended,7.0,,,0.0,7.0,late
403,557314,383126,mobile,ended,-16.0,,,-1.0,44.0,early
405,557504,327732,mobile,ended,55.0,,,0.0,55.0,late
406,557512,412816,mobile,ended,101.0,,,1.0,41.0,late
407,557514,405433,mobile,ended,47.0,,,0.0,47.0,late
408,557535,401623,mobile,ended,21.0,,,0.0,21.0,late
409,557572,383139,mobile,ended,-85.0,,,-2.0,35.0,early
410,557674,375915,mobile,ended,15.0,550183.0,480.0,0.0,15.0,late
411,557681,410151,mobile,ended,122.0,,,2.0,2.0,late
412,557685,272724,mobile,ended,996.0,,,16.0,36.0,late
413,557716,249157,mobile,ended,,,,,,on time
414,557833,351547,mobile,ended,67.0,,,1.0,7.0,late
415,557913,351021,mobile,ended,-4.0,,,-1.0,56.0,early
416,558047,396746,mobile,ended,-25.0,,,-1.0,35.0,early
417,558088,245154,connect,ended,-40.0,566170.0,180.0,-1.0,20.0,early
418,558250,375126,connect,ended,-4.0,549813.0,600.0,-1.0,56.0,early
420,558424,318867,mobile,ended,173.0,,,2.0,53.0,late
422,558525,297962,connect,ended,-256.0,555341.0,30.0,-5.0,44.0,early
423,558557,410258,mobile,ended,20.0,,,0.0,20.0,late
424,558561,326755,mobile,ended,72.0,,,1.0,12.0,late
425,558583,326578,mobile,ended,3.0,,,0.0,3.0,late
426,558709,316772,mobile,ended,102.0,,,1.0,42.0,late
427,558759,368753,connect,ended,-126.0,,,-3.0,54.0,early
428,558974,321069,mobile,ended,-5.0,,,-1.0,55.0,early
429,559078,340616,connect,ended,27.0,,,0.0,27.0,late
431,559107,402084,mobile,ended,,,,,,on time
433,559318,344677,mobile,ended,2.0,,,0.0,2.0,late
434,559331,369354,mobile,ended,89.0,,,1.0,29.0,late
435,559428,289720,connect,ended,-16.0,520878.0,90.0,-1.0,44.0,early
436,559435,281955,mobile,ended,18.0,553797.0,60.0,0.0,18.0,late
438,559781,408776,mobile,ended,44.0,540868.0,0.0,0.0,44.0,late
439,559817,394117,mobile,ended,21.0,,,0.0,21.0,late
440,559924,376064,mobile,ended,-3.0,,,-1.0,57.0,early
441,560005,301068,mobile,ended,-78.0,,,-2.0,42.0,early
442,560079,288452,mobile,ended,52.0,,,0.0,52.0,late
444,560363,376124,mobile,ended,,,,,,on time
445,560720,404020,mobile,ended,-14.0,,,-1.0,46.0,early
446,560884,410068,mobile,ended,-41.0,,,-1.0,19.0,early
447,560886,375755,mobile,ended,84.0,,,1.0,24.0,late
448,560889,412672,connect,ended,,,,,,on time
449,561054,387845,mobile,ended,-18.0,,,-1.0,42.0,early
450,561083,334859,mobile,ended,65.0,,,1.0,5.0,late
451,561111,337217,mobile,ended,10.0,,,0.0,10.0,late
452,561157,373726,mobile,ended,-14.0,,,-1.0,46.0,early
453,561269,389467,mobile,ended,-21.0,,,-1.0,39.0,early
454,561285,392479,mobile,ended,-40.0,,,-1.0,20.0,early
455,561366,305917,mobile,ended,-104.0,,,-2.0,16.0,early
456,561368,249274,connect,ended,-3.0,558711.0,30.0,-1.0,57.0,early
457,561383,411754,connect,ended,173.0,,,2.0,53.0,late
458,561408,310444,connect,ended,-54.0,545475.0,360.0,-1.0,6.0,early
459,561450,192179,connect,ended,7.0,541144.0,540.0,0.0,7.0,late
461,561596,364996,mobile,ended,108.0,,,1.0,48.0,late
462,561706,395613,mobile,ended,-38.0,,,-1.0,22.0,early
464,561726,409636,mobile,ended,-208.0,,,-4.0,32.0,early
468,562090,404542,mobile,ended,-35.0,,,-1.0,25.0,early
470,562173,394024,mobile,ended,73.0,,,1.0,13.0,late
471,562174,381499,connect,ended,73.0,,,1.0,13.0,late
474,562264,408060,mobile,ended,129.0,,,2.0,9.0,late
475,562291,404133,connect,ended,-709.0,,,-12.0,11.0,early
477,562409,410088,mobile,ended,-30.0,,,-1.0,30.0,early
478,562501,242546,mobile,ended,15.0,,,0.0,15.0,late
480,562669,393442,mobile,ended,30.0,,,0.0,30.0,late
481,562807,310571,mobile,ended,-14.0,,,-1.0,46.0,early
482,563003,310828,mobile,ended,-444.0,,,-8.0,36.0,early
483,563108,339515,mobile,ended,33.0,,,0.0,33.0,late
484,563119,406005,mobile,ended,,,,,,on time
486,563157,371572,connect,ended,-83.0,,,-2.0,37.0,early
487,563509,349894,connect,ended,-432.0,,,-8.0,48.0,early
488,563519,225602,mobile,ended,-16.0,,,-1.0,44.0,early
489,563552,241021,connect,ended,25.0,567278.0,60.0,0.0,25.0,late
490,563775,365793,mobile,ended,,,,,,on time
491,563933,347208,connect,ended,27.0,,,0.0,27.0,late
492,563998,409663,mobile,ended,-47.0,,,-1.0,13.0,early
493,564034,358907,mobile,ended,,,,,,on time
494,564045,381123,mobile,ended,99.0,554558.0,660.0,1.0,39.0,late
495,564094,179429,mobile,ended,4.0,,,0.0,4.0,late
496,564208,361262,mobile,ended,90.0,,,1.0,30.0,late
498,564414,195888,mobile,ended,20.0,564484.0,180.0,0.0,20.0,late
500,564466,407869,mobile,ended,10.0,,,0.0,10.0,late
501,564500,382884,mobile,ended,69.0,555024.0,420.0,1.0,9.0,late
503,564538,332366,mobile,ended,335.0,,,5.0,35.0,late
506,564642,340833,mobile,ended,-20.0,,,-1.0,40.0,early
508,564706,384747,mobile,ended,403.0,,,6.0,43.0,late
510,564785,399718,mobile,ended,1.0,,,0.0,1.0,late
512,564844,297962,connect,ended,-167.0,,,-3.0,13.0,early
513,564955,389994,mobile,ended,136.0,,,2.0,16.0,late
515,564992,366410,mobile,ended,62.0,,,1.0,2.0,late
516,565108,354331,mobile,ended,-55.0,,,-1.0,5.0,early
517,565143,381435,mobile,ended,-100.0,,,-2.0,20.0,early
