,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay
818,531518,391618,connect,ended,3.0,,,0.0,3.0,late
820,531713,371159,connect,ended,-125.0,,,-3.0,55.0,early
832,534448,364160,connect,ended,-94.0,,,-2.0,26.0,early
844,535519,353425,connect,ended,-166.0,533413.0,0.0,-3.0,14.0,early
846,535870,308073,connect,ended,-37.0,,,-1.0,23.0,early
852,536208,366199,connect,ended,21.0,,,0.0,21.0,late
855,536680,313772,connect,ended,-180.0,,,-3.0,0.0,early
859,536934,376901,connect,ended,35.0,,,0.0,35.0,late
861,537265,390976,connect,ended,54.0,,,0.0,54.0,late
865,537452,320834,connect,ended,-117.0,,,-2.0,3.0,early
872,537872,315136,connect,ended,23.0,,,0.0,23.0,late
876,507519,306450,connect,ended,28.0,,,0.0,28.0,late
884,517671,401475,connect,ended,-249.0,,,-5.0,51.0,early
887,518975,350502,connect,ended,51.0,,,0.0,51.0,late
896,523400,347873,connect,ended,108.0,,,1.0,48.0,late
903,525959,177313,connect,ended,28.0,,,0.0,28.0,late
906,527046,298757,connect,ended,-281.0,,,-5.0,19.0,early
915,530029,403275,connect,ended,-8.0,,,-1.0,52.0,early
917,530606,377219,connect,ended,-346.0,,,-6.0,14.0,early
922,531745,294327,connect,ended,6.0,,,0.0,6.0,late
923,531842,348293,connect,ended,-117.0,,,-2.0,3.0,early
953,535339,298429,connect,ended,87.0,,,1.0,27.0,late
962,536404,340579,connect,ended,8.0,,,0.0,8.0,late
963,536759,313602,connect,ended,-116.0,,,-2.0,4.0,early
971,537400,337219,connect,ended,1.0,,,0.0,1.0,late
973,537657,402528,connect,ended,89.0,,,1.0,29.0,late
976,538010,312078,connect,ended,10.0,,,0.0,10.0,late
977,538016,223160,connect,ended,-570.0,,,-10.0,30.0,early
980,538136,175289,connect,ended,6.0,547208.0,570.0,0.0,6.0,late
983,538482,367632,connect,ended,-114.0,,,-2.0,6.0,early
1007,529163,260096,connect,ended,245.0,,,4.0,5.0,late
1008,529301,320824,connect,ended,-308.0,551094.0,540.0,-6.0,52.0,early
1017,531719,278935,connect,ended,35.0,,,0.0,35.0,late
1019,532016,314107,connect,ended,-58.0,,,-1.0,2.0,early
1028,532794,338947,connect,ended,-1.0,,,-1.0,59.0,early
1047,536139,386413,connect,ended,-51.0,,,-1.0,9.0,early
1067,537841,265664,connect,ended,186.0,536761.0,240.0,3.0,6.0,late
1075,538325,389785,connect,ended,-211.0,,,-4.0,29.0,early
1082,538858,352393,connect,ended,22.0,,,0.0,22.0,late
1083,538987,391882,connect,ended,-40.0,,,-1.0,20.0,early
1100,538585,337266,connect,ended,54.0,,,0.0,54.0,late
1105,538823,381687,connect,ended,485.0,,,8.0,5.0,late
1107,538938,389785,connect,ended,454.0,,,7.0,34.0,late
1126,540222,360474,connect,ended,71.0,539404.0,180.0,1.0,11.0,late
1129,540617,389785,connect,ended,-884.0,,,-15.0,16.0,early
1132,540924,374809,connect,ended,2.0,547311.0,240.0,0.0,2.0,late
1134,541065,341037,connect,ended,4.0,,,0.0,4.0,late
1140,541486,300505,connect,ended,12.0,,,0.0,12.0,late
1161,542519,356106,connect,ended,27.0,545322.0,270.0,0.0,27.0,late
1171,543369,351393,connect,ended,69.0,,,1.0,9.0,late
1172,543395,291856,connect,ended,-34.0,,,-1.0,26.0,early
1184,544210,381499,connect,ended,,,,,,on time
1186,544249,407419,connect,ended,-788.0,,,-14.0,52.0,early
1199,545055,387753,connect,ended,11.0,,,0.0,11.0,late
1202,545226,367919,connect,ended,280.0,,,4.0,40.0,late
1207,538758,292319,connect,ended,-58.0,,,-1.0,2.0,early
1208,538800,192463,connect,ended,50.0,,,0.0,50.0,late
1217,539551,384040,connect,ended,-1.0,,,-1.0,59.0,early
1221,539760,216148,connect,ended,194.0,537416.0,0.0,3.0,14.0,late
1227,540022,320824,connect,ended,106.0,,,1.0,46.0,late
1245,541454,351393,connect,ended,254.0,,,4.0,14.0,late
1269,543010,374169,connect,ended,42.0,536789.0,120.0,0.0,42.0,late
1279,543513,404130,connect,ended,-82.0,541766.0,0.0,-2.0,38.0,early
1280,543527,316678,connect,ended,-324.0,,,-6.0,36.0,early
1281,543591,220877,connect,ended,6.0,,,0.0,6.0,late
1284,543757,385011,connect,ended,49.0,,,0.0,49.0,late
1300,544792,214635,connect,ended,40.0,545831.0,90.0,0.0,40.0,late
1319,539614,376901,connect,ended,12.0,,,0.0,12.0,late
1327,539987,383110,connect,ended,76.0,528385.0,480.0,1.0,16.0,late
1342,540747,214635,connect,ended,-972.0,546332.0,60.0,-17.0,48.0,early
1344,540855,335276,connect,ended,29.0,,,0.0,29.0,late
1350,541445,385629,connect,ended,-221.0,544389.0,480.0,-4.0,19.0,early
1353,541681,349171,connect,ended,,,,,,on time
1354,541702,192179,connect,ended,13.0,,,0.0,13.0,late
1369,542254,176220,connect,ended,-11.0,,,-1.0,49.0,early
1370,542263,376605,connect,ended,-59.0,,,-1.0,1.0,early
1379,543072,220982,connect,ended,122.0,,,2.0,2.0,late
1381,543177,212965,connect,ended,,542904.0,240.0,,,on time
1383,543259,374809,connect,ended,-5.0,,,-1.0,55.0,early
1384,543274,317378,connect,ended,-135.0,,,-3.0,45.0,early
1392,543731,310219,connect,ended,-42.0,,,-1.0,18.0,early
1395,543783,251815,connect,ended,-27.0,,,-1.0,33.0,early
1399,544251,317770,connect,ended,-44.0,,,-1.0,16.0,early
1401,544373,344254,connect,ended,-77.0,549312.0,690.0,-2.0,43.0,early
1414,545177,390509,connect,ended,72.0,542725.0,720.0,1.0,12.0,late
1418,545709,375421,connect,ended,13.0,,,0.0,13.0,late
1420,545831,214635,connect,ended,11.0,,,0.0,11.0,late
1431,546588,273281,connect,ended,4.0,,,0.0,4.0,late
1435,546721,348482,connect,ended,-130.0,,,-3.0,50.0,early
1446,512682,159533,connect,ended,-125.0,,,-3.0,55.0,early
1470,526018,371539,connect,ended,27.0,,,0.0,27.0,late
1487,533021,390509,connect,ended,128.0,,,2.0,8.0,late
1500,534575,296765,connect,ended,1.0,,,0.0,1.0,late
1511,534999,340014,connect,ended,346.0,,,5.0,46.0,late
1519,536254,305816,connect,ended,137.0,,,2.0,17.0,late
1537,537659,373893,connect,ended,-4.0,,,-1.0,56.0,early
1549,538890,371159,connect,ended,-257.0,,,-5.0,43.0,early
1552,539315,364907,connect,ended,28.0,,,0.0,28.0,late
1555,539421,316744,connect,ended,-6.0,,,-1.0,54.0,early
1557,539596,382821,connect,ended,-5.0,,,-1.0,55.0,early
1581,536086,348294,connect,ended,88.0,,,1.0,28.0,late
1586,536453,310576,connect,ended,-36.0,,,-1.0,24.0,early
1592,536761,265664,connect,ended,-3.0,,,-1.0,57.0,early
1603,537504,358772,connect,ended,-43.0,,,-1.0,17.0,early
1608,537880,314466,connect,ended,-38.0,,,-1.0,22.0,early
1613,538207,312078,connect,ended,-128.0,,,-3.0,52.0,early
1617,538610,385721,connect,ended,31.0,,,0.0,31.0,late
1619,538798,391883,connect,ended,-51.0,,,-1.0,9.0,early
1623,538983,383720,connect,ended,-31.0,,,-1.0,29.0,early
1625,539119,362199,connect,ended,-262.0,,,-5.0,38.0,early
1635,546744,355023,connect,ended,115.0,,,1.0,55.0,late
1646,545589,337266,connect,ended,4.0,,,0.0,4.0,late
1648,545811,386259,connect,ended,155.0,,,2.0,35.0,late
1654,546195,385303,connect,ended,-16.0,,,-1.0,44.0,early
1657,546378,316936,connect,ended,227.0,,,3.0,47.0,late
1660,546543,404129,connect,ended,-161.0,,,-3.0,19.0,early
1662,546784,390871,connect,ended,-25.0,,,-1.0,35.0,early
1663,546829,219550,connect,ended,,,,,,on time
1665,547037,301301,connect,ended,-104.0,,,-2.0,16.0,early
1666,547041,366981,connect,ended,180.0,,,3.0,0.0,late
1668,547296,375621,connect,ended,90.0,,,1.0,30.0,late
1670,547347,385756,connect,ended,273.0,,,4.0,33.0,late
1676,547744,407419,connect,ended,-2.0,,,-1.0,58.0,early
1679,547899,319886,connect,ended,-14.0,,,-1.0,46.0,early
1686,548484,370055,connect,ended,-556.0,,,-10.0,44.0,early
1691,509018,285829,connect,ended,57.0,,,0.0,57.0,late
1694,514023,358849,connect,ended,-56.0,,,-1.0,4.0,early
1716,521852,359045,connect,ended,650.0,,,10.0,50.0,late
1720,522930,296815,connect,ended,-87.0,,,-2.0,33.0,early
1733,527121,159533,connect,ended,-560.0,,,-10.0,40.0,early
1748,530211,392600,connect,ended,191.0,,,3.0,11.0,late
1763,547952,369938,connect,ended,144.0,,,2.0,24.0,late
1766,548416,313386,connect,ended,63.0,,,1.0,3.0,late
1784,549853,376311,connect,ended,-162.0,,,-3.0,18.0,early
1785,549854,303309,connect,ended,-46.0,,,-1.0,14.0,early
1790,550095,298757,connect,ended,-14.0,548361.0,630.0,-1.0,46.0,early
1798,550502,364160,connect,ended,-79.0,,,-2.0,41.0,early
1799,550504,405611,connect,ended,59.0,562977.0,630.0,0.0,59.0,late
1800,550505,340369,connect,ended,8.0,,,0.0,8.0,late
1808,550832,358082,connect,ended,34.0,549771.0,90.0,0.0,34.0,late
1814,539787,396435,connect,ended,-183.0,,,-4.0,57.0,early
1819,540056,373893,connect,ended,37.0,,,0.0,37.0,late
1828,540507,307983,connect,ended,-22.0,,,-1.0,38.0,early
1831,540663,225795,connect,ended,60.0,,,1.0,0.0,late
1835,540784,310576,connect,ended,54.0,536453.0,0.0,0.0,54.0,late
1838,541239,355444,connect,ended,33.0,,,0.0,33.0,late
1841,541365,350502,connect,ended,52.0,,,0.0,52.0,late
1848,541706,355444,connect,ended,188.0,,,3.0,8.0,late
1861,542251,360460,connect,ended,5.0,,,0.0,5.0,late
1869,545394,387107,connect,ended,-36.0,,,-1.0,24.0,early
1872,545424,369542,connect,ended,17.0,,,0.0,17.0,late
1874,545532,387939,connect,ended,7.0,546352.0,300.0,0.0,7.0,late
1889,546679,295830,connect,ended,,,,,,on time
1896,547351,289496,connect,ended,24.0,,,0.0,24.0,late
1900,547593,317024,connect,ended,6.0,,,0.0,6.0,late
1903,547791,396791,connect,ended,107.0,,,1.0,47.0,late
1904,548092,214635,connect,ended,29.0,,,0.0,29.0,late
1909,548454,380952,connect,ended,-7.0,,,-1.0,53.0,early
1916,549036,378754,connect,ended,-148.0,,,-3.0,32.0,early
1918,549150,226355,connect,ended,-191.0,,,-4.0,49.0,early
1929,549471,334190,connect,ended,-89.0,554043.0,630.0,-2.0,31.0,early
1931,549496,393781,connect,ended,9.0,,,0.0,9.0,late
1938,550171,398152,connect,ended,104.0,,,1.0,44.0,late
1950,550614,392368,connect,ended,27.0,,,0.0,27.0,late
1953,551152,358835,connect,ended,-98.0,,,-2.0,22.0,early
1981,549057,365315,connect,ended,-111.0,,,-2.0,9.0,early
1982,549151,399172,connect,ended,105.0,,,1.0,45.0,late
1983,549276,253255,connect,ended,-105.0,,,-2.0,15.0,early
1987,549574,367776,connect,ended,18.0,,,0.0,18.0,late
1988,549650,262187,connect,ended,289.0,,,4.0,49.0,late
2007,551138,301799,connect,ended,550.0,,,9.0,10.0,late
2013,551686,383110,connect,ended,-11.0,547672.0,150.0,-1.0,49.0,early
2025,552388,371354,connect,ended,-22.0,,,-1.0,38.0,early
2029,552682,324821,connect,ended,-444.0,,,-8.0,36.0,early
2035,552905,342699,connect,ended,53.0,,,0.0,53.0,late
2040,553267,384193,connect,ended,76.0,,,1.0,16.0,late
2042,553398,378003,connect,ended,-249.0,,,-5.0,51.0,early
2043,553412,335276,connect,ended,11.0,,,0.0,11.0,late
2050,554043,334190,connect,ended,15.0,,,0.0,15.0,late
2053,554117,320824,connect,ended,-1084.0,,,-19.0,56.0,early
2057,554198,313386,connect,ended,-54.0,,,-1.0,6.0,early
2059,554257,332582,connect,ended,20.0,,,0.0,20.0,late
2064,554601,320834,connect,ended,-1.0,,,-1.0,59.0,early
2074,555186,385178,connect,ended,-301.0,,,-6.0,59.0,early
2076,555588,312078,connect,ended,-20.0,,,-1.0,40.0,early
2083,552008,272430,connect,ended,-62.0,,,-2.0,58.0,early
2085,552048,308038,connect,ended,-107.0,,,-2.0,13.0,early
2091,552460,340014,connect,ended,-151.0,,,-3.0,29.0,early
2097,552825,369938,connect,ended,-44.0,,,-1.0,16.0,early
2108,553733,351660,connect,ended,-5.0,,,-1.0,55.0,early
2113,553939,402528,connect,ended,-99.0,558730.0,0.0,-2.0,21.0,early
2117,554293,381708,connect,ended,-33.0,,,-1.0,27.0,early
2119,554505,402562,connect,ended,-47.0,554934.0,0.0,-1.0,13.0,early
2120,554528,355444,connect,ended,-32.0,,,-1.0,28.0,early
2123,554832,404963,connect,ended,51.0,,,0.0,51.0,late
2125,554934,402562,connect,ended,12.0,,,0.0,12.0,late
2134,555407,405142,connect,ended,-31.0,,,-1.0,29.0,early
2144,556086,292319,connect,ended,-100.0,,,-2.0,20.0,early
2146,556471,311923,connect,ended,5.0,,,0.0,5.0,late
2149,556870,391519,connect,ended,,555600.0,180.0,,,on time
2153,557106,317330,connect,ended,-10.0,,,-1.0,50.0,early
2157,557297,342645,connect,ended,41.0,,,0.0,41.0,late
2159,557318,334190,connect,ended,158.0,556215.0,660.0,2.0,38.0,late
2166,557828,409991,connect,ended,-6.0,,,-1.0,54.0,early
2167,557985,291932,connect,ended,-32.0,,,-1.0,28.0,early
2170,558272,360474,connect,ended,7.0,,,0.0,7.0,late
2171,558435,401870,connect,ended,5.0,,,0.0,5.0,late
2172,558448,383110,connect,ended,64.0,554348.0,150.0,1.0,4.0,late
2175,558719,286751,connect,ended,-127.0,,,-3.0,53.0,early
2176,558884,404128,connect,ended,-82.0,,,-2.0,38.0,early
2177,558891,356106,connect,ended,82.0,,,1.0,22.0,late
2185,559400,403265,connect,ended,-6.0,,,-1.0,54.0,early
2186,559430,357530,connect,ended,-7.0,558258.0,0.0,-1.0,53.0,early
2196,542632,404130,connect,ended,-277.0,,,-5.0,23.0,early
2198,542797,275062,connect,ended,-73.0,,,-2.0,47.0,early
2200,542948,391370,connect,ended,27.0,,,0.0,27.0,late
2203,543342,342710,connect,ended,104.0,,,1.0,44.0,late
2207,507848,390611,connect,ended,-231.0,,,-4.0,9.0,early
2210,512821,175887,connect,ended,-120.0,,,-2.0,0.0,early
2224,519407,228703,connect,ended,-1061.0,,,-18.0,19.0,early
2226,520085,384040,connect,ended,31.0,,,0.0,31.0,late
2231,521076,380708,connect,ended,103.0,539450.0,210.0,1.0,43.0,late
2244,527013,362531,connect,ended,-43.0,,,-1.0,17.0,early
2245,527270,389785,connect,ended,3.0,,,0.0,3.0,late
2249,528678,274942,connect,ended,247.0,,,4.0,7.0,late
2263,530663,403275,connect,ended,43.0,,,0.0,43.0,late
2264,531247,392368,connect,ended,-32.0,550614.0,60.0,-1.0,28.0,early
2306,537569,364464,connect,ended,,,,,,on time
2312,538099,391379,connect,ended,65.0,,,1.0,5.0,late
2316,538439,386259,connect,ended,-171.0,,,-3.0,9.0,early
2321,538768,392241,connect,ended,271.0,,,4.0,31.0,late
2322,538809,323630,connect,ended,22.0,,,0.0,22.0,late
2328,539414,334190,connect,ended,-286.0,,,-5.0,14.0,early
2358,541792,380952,connect,ended,110.0,,,1.0,50.0,late
2360,541933,336650,connect,ended,,,,,,on time
2361,541964,356106,connect,ended,-9.0,543577.0,0.0,-1.0,51.0,early
2370,542616,396483,connect,ended,4.0,,,0.0,4.0,late
2375,542852,375047,connect,ended,66.0,,,1.0,6.0,late
2387,543322,380647,connect,ended,,540701.0,630.0,,,on time
2388,543323,367365,connect,ended,2.0,,,0.0,2.0,late
2392,543686,244848,connect,ended,-11.0,,,-1.0,49.0,early
2403,543835,286751,connect,ended,27.0,,,0.0,27.0,late
2408,544319,392368,connect,ended,-484.0,,,-9.0,56.0,early
2430,545276,348526,connect,ended,-19.0,,,-1.0,41.0,early
2431,545401,384193,connect,ended,-226.0,,,-4.0,14.0,early
2437,545980,396009,connect,ended,1.0,549819.0,60.0,0.0,1.0,late
2445,546386,373507,connect,ended,-605.0,,,-11.0,55.0,early
2449,546597,359045,connect,ended,-69.0,,,-2.0,51.0,early
2451,546792,230201,connect,ended,-32.0,546832.0,0.0,-1.0,28.0,early
2454,546893,385629,connect,ended,-169.0,541445.0,0.0,-3.0,11.0,early
2463,547620,357530,connect,ended,-340.0,,,-6.0,20.0,early
2473,532959,166540,connect,ended,412.0,,,6.0,52.0,late
2482,534395,284713,connect,ended,-1.0,,,-1.0,59.0,early
2484,534428,260096,connect,ended,-179.0,,,-3.0,1.0,early
2487,534856,319886,connect,ended,-40.0,556396.0,0.0,-1.0,20.0,early
2492,535024,321752,connect,ended,-52.0,,,-1.0,8.0,early
2500,535685,376605,connect,ended,-127.0,,,-3.0,53.0,early
2501,535705,369447,connect,ended,-38.0,,,-1.0,22.0,early
2507,535948,394656,connect,ended,-68.0,,,-2.0,52.0,early
2509,536107,385721,connect,ended,62.0,525106.0,570.0,1.0,2.0,late
2516,537111,393968,connect,ended,15.0,,,0.0,15.0,late
2528,556563,320824,connect,ended,23.0,,,0.0,23.0,late
2537,557355,392241,connect,ended,14.0,,,0.0,14.0,late
2544,557809,300505,connect,ended,23.0,,,0.0,23.0,late
2555,558536,175289,connect,ended,9.0,,,0.0,9.0,late
2564,559232,358835,connect,ended,-6.0,,,-1.0,54.0,early
2565,559258,310681,connect,ended,-190.0,,,-4.0,50.0,early
2577,560699,369881,connect,ended,-3.0,,,-1.0,57.0,early
2578,560706,358982,connect,ended,-389.0,,,-7.0,31.0,early
2583,561304,176220,connect,ended,-75.0,,,-2.0,45.0,early
2585,561487,241021,connect,ended,-209.0,,,-4.0,31.0,early
2589,561643,348294,connect,ended,16.0,,,0.0,16.0,late
2591,561871,356551,connect,ended,-1.0,,,-1.0,59.0,early
2592,561903,310553,connect,ended,-7.0,,,-1.0,53.0,early
2593,561995,406554,connect,ended,18.0,,,0.0,18.0,late
2595,562134,347208,connect,ended,-24.0,,,-1.0,36.0,early
2604,562686,385003,connect,ended,111.0,,,1.0,51.0,late
2611,563129,393723,connect,ended,-72.0,,,-2.0,48.0,early
2619,563668,370055,connect,ended,24.0,,,0.0,24.0,late
2622,564147,304775,connect,ended,-85.0,,,-2.0,35.0,early
2632,537825,392368,connect,ended,5.0,,,0.0,5.0,late
2639,538213,228359,connect,ended,23.0,,,0.0,23.0,late
2646,538598,384688,connect,ended,-7.0,,,-1.0,53.0,early
2648,538762,369447,connect,ended,122.0,,,2.0,2.0,late
2651,538870,176670,connect,ended,-30.0,,,-1.0,30.0,early
2665,539475,286751,connect,ended,26.0,,,0.0,26.0,late
2681,540372,385721,connect,ended,48.0,516961.0,0.0,0.0,48.0,late
2691,540998,351597,connect,ended,-75.0,,,-2.0,45.0,early
2696,541150,342699,connect,ended,211.0,,,3.0,31.0,late
2699,541362,376901,connect,ended,9.0,,,0.0,9.0,late
2701,541493,285241,connect,ended,226.0,562771.0,540.0,3.0,46.0,late
2702,541498,351660,connect,ended,3.0,,,0.0,3.0,late
2705,541532,323889,connect,ended,26.0,,,0.0,26.0,late
