,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay,delay_days,checkin_late,checkin_late_hours,checkin_late_minutes,checkin_time
3144,535690,313432,mobile,ended,84.0,539109.0,60.0,1.0,24.0,late,0.0,24.0,0.0,24.0,late
3171,537518,350149,mobile,ended,267.0,538529.0,60.0,4.0,27.0,late,0.0,207.0,3.0,27.0,late
3272,545022,363918,mobile,ended,489.0,545032.0,60.0,8.0,9.0,late,0.0,429.0,7.0,9.0,late
3305,556401,339138,connect,ended,62.0,565263.0,0.0,1.0,2.0,late,0.0,62.0,1.0,2.0,late
3335,558403,380407,mobile,ended,4.0,547147.0,0.0,0.0,4.0,late,0.0,4.0,0.0,4.0,late
3364,559963,331900,mobile,ended,66.0,559063.0,30.0,1.0,6.0,late,0.0,36.0,0.0,36.0,late
3400,569313,367919,connect,ended,384.0,545720.0,0.0,6.0,24.0,late,0.0,384.0,6.0,24.0,late
3421,572859,404128,connect,ended,725.0,571634.0,180.0,12.0,5.0,late,0.0,545.0,9.0,5.0,late
3506,562717,402083,connect,ended,493.0,561928.0,360.0,8.0,13.0,late,0.0,133.0,2.0,13.0,late
3648,568141,224728,mobile,ended,37.0,567789.0,30.0,0.0,37.0,late,0.0,7.0,0.0,7.0,late
3757,538181,397333,mobile,ended,704.0,540525.0,0.0,11.0,44.0,late,0.0,704.0,11.0,44.0,late
3850,534768,287544,mobile,ended,164.0,531476.0,120.0,2.0,44.0,late,0.0,44.0,0.0,44.0,late
3896,537598,338935,mobile,ended,188.0,537023.0,60.0,3.0,8.0,late,0.0,128.0,2.0,8.0,late
3919,539674,344254,connect,ended,125.0,541533.0,60.0,2.0,5.0,late,0.0,65.0,1.0,5.0,late
4006,541826,404130,connect,ended,97.0,543513.0,30.0,1.0,37.0,late,0.0,67.0,1.0,7.0,late
4040,544376,373233,mobile,ended,121.0,544861.0,60.0,2.0,1.0,late,0.0,61.0,1.0,1.0,late
4112,553553,408883,mobile,ended,8.0,564585.0,0.0,0.0,8.0,late,0.0,8.0,0.0,8.0,late
4234,542830,328900,connect,ended,265.0,508109.0,0.0,4.0,25.0,late,0.0,265.0,4.0,25.0,late
4267,544979,392479,mobile,ended,183.0,547804.0,120.0,3.0,3.0,late,0.0,63.0,1.0,3.0,late
4309,547130,411325,mobile,ended,22.0,545629.0,0.0,0.0,22.0,late,0.0,22.0,0.0,22.0,late
4362,550654,357007,mobile,ended,30.0,508605.0,30.0,0.0,30.0,late,0.0,0.0,0.0,0.0,late
4392,541646,364890,mobile,ended,621.0,538703.0,210.0,10.0,21.0,late,0.0,411.0,6.0,51.0,late
4503,558441,358225,mobile,ended,4.0,552053.0,0.0,0.0,4.0,late,0.0,4.0,0.0,4.0,late
4676,550479,265239,connect,ended,51.0,520615.0,0.0,0.0,51.0,late,0.0,51.0,0.0,51.0,late
4797,553836,340616,connect,ended,54.0,553933.0,30.0,0.0,54.0,late,0.0,24.0,0.0,24.0,late
4835,549968,377004,mobile,ended,52.0,550088.0,30.0,0.0,52.0,late,0.0,22.0,0.0,22.0,late
4859,551565,356673,mobile,ended,176.0,548460.0,60.0,2.0,56.0,late,0.0,116.0,1.0,56.0,late
4863,551667,350149,mobile,ended,272.0,555318.0,150.0,4.0,32.0,late,0.0,122.0,2.0,2.0,late
4946,549565,390692,mobile,ended,78.0,530304.0,0.0,1.0,18.0,late,0.0,78.0,1.0,18.0,late
4983,551997,398886,mobile,ended,205.0,550567.0,60.0,3.0,25.0,late,0.0,145.0,2.0,25.0,late
5000,553523,412539,mobile,ended,1489.0,552169.0,480.0,24.0,49.0,late,1.0,1009.0,16.0,49.0,late
5204,559886,347011,mobile,ended,140.0,557366.0,60.0,2.0,20.0,late,0.0,80.0,1.0,20.0,late
5247,563218,397592,mobile,ended,93.0,560585.0,60.0,1.0,33.0,late,0.0,33.0,0.0,33.0,late
5265,556970,403644,mobile,ended,45.0,556081.0,30.0,0.0,45.0,late,0.0,15.0,0.0,15.0,late
5517,566774,377591,connect,ended,281.0,544588.0,0.0,4.0,41.0,late,0.0,281.0,4.0,41.0,late
5547,525837,244848,connect,ended,172.0,543686.0,120.0,2.0,52.0,late,0.0,52.0,0.0,52.0,late
5586,558633,336650,connect,ended,19.0,557424.0,0.0,0.0,19.0,late,0.0,19.0,0.0,19.0,late
5650,563248,385625,connect,ended,6.0,556513.0,0.0,0.0,6.0,late,0.0,6.0,0.0,6.0,late
5751,568054,293992,mobile,ended,1147.0,562269.0,60.0,19.0,7.0,late,0.0,1087.0,18.0,7.0,late
5895,524637,348225,mobile,ended,37.0,550539.0,0.0,0.0,37.0,late,0.0,37.0,0.0,37.0,late
6301,541178,392635,mobile,ended,86.0,523175.0,0.0,1.0,26.0,late,0.0,86.0,1.0,26.0,late
6315,542245,383255,mobile,ended,451.0,539006.0,240.0,7.0,31.0,late,0.0,211.0,3.0,31.0,late
6457,551308,342067,mobile,ended,42.0,545062.0,0.0,0.0,42.0,late,0.0,42.0,0.0,42.0,late
6749,567140,402308,mobile,ended,687.0,561807.0,0.0,11.0,27.0,late,0.0,687.0,11.0,27.0,late
6766,568251,404629,mobile,ended,789.0,565555.0,60.0,13.0,9.0,late,0.0,729.0,12.0,9.0,late
6803,572714,298466,mobile,ended,218.0,565815.0,30.0,3.0,38.0,late,0.0,188.0,3.0,8.0,late
6958,538716,356673,mobile,ended,90.0,529144.0,0.0,1.0,30.0,late,0.0,90.0,1.0,30.0,late
6994,541155,336886,mobile,ended,39.0,533474.0,30.0,0.0,39.0,late,0.0,9.0,0.0,9.0,late
7009,566395,414230,mobile,ended,24.0,562156.0,0.0,0.0,24.0,late,0.0,24.0,0.0,24.0,late
7102,568143,300781,mobile,ended,126.0,563657.0,0.0,2.0,6.0,late,0.0,126.0,2.0,6.0,late
7187,538178,392368,connect,ended,1064.0,557772.0,720.0,17.0,44.0,late,0.0,344.0,5.0,44.0,late
7206,539758,397599,mobile,ended,138.0,540797.0,0.0,2.0,18.0,late,0.0,138.0,2.0,18.0,late
7463,543525,386259,connect,ended,11.0,541605.0,0.0,0.0,11.0,late,0.0,11.0,0.0,11.0,late
7483,544791,402562,connect,ended,85.0,554505.0,60.0,1.0,25.0,late,0.0,25.0,0.0,25.0,late
7556,567765,349655,mobile,ended,165.0,561557.0,0.0,2.0,45.0,late,0.0,165.0,2.0,45.0,late
7669,575497,356190,mobile,ended,702.0,574596.0,30.0,11.0,42.0,late,0.0,672.0,11.0,12.0,late
7670,575539,294883,mobile,ended,85.0,572492.0,0.0,1.0,25.0,late,0.0,85.0,1.0,25.0,late
7683,513740,338940,mobile,ended,83.0,565837.0,0.0,1.0,23.0,late,0.0,83.0,1.0,23.0,late
7985,544389,385629,connect,ended,23.0,517515.0,0.0,0.0,23.0,late,0.0,23.0,0.0,23.0,late
8024,542649,248272,mobile,ended,1382.0,542179.0,90.0,23.0,2.0,late,0.0,1292.0,21.0,32.0,late
8057,545099,389599,mobile,ended,56.0,539042.0,0.0,0.0,56.0,late,0.0,56.0,0.0,56.0,late
8203,538615,403884,mobile,ended,27.0,540902.0,0.0,0.0,27.0,late,0.0,27.0,0.0,27.0,late
8281,548903,360981,mobile,ended,221.0,549631.0,30.0,3.0,41.0,late,0.0,191.0,3.0,11.0,late
8294,550033,285452,connect,ended,31.0,545931.0,0.0,0.0,31.0,late,0.0,31.0,0.0,31.0,late
8342,547095,339540,mobile,ended,119.0,535528.0,60.0,1.0,59.0,late,0.0,59.0,0.0,59.0,late
8441,514488,179304,mobile,ended,124.0,557954.0,0.0,2.0,4.0,late,0.0,124.0,2.0,4.0,late
8711,526426,370907,mobile,ended,42.0,547543.0,0.0,0.0,42.0,late,0.0,42.0,0.0,42.0,late
8929,537793,357875,mobile,ended,267.0,542111.0,0.0,4.0,27.0,late,0.0,267.0,4.0,27.0,late
8936,538248,224967,mobile,ended,54.0,529692.0,0.0,0.0,54.0,late,0.0,54.0,0.0,54.0,late
8944,538941,385178,connect,ended,241.0,540804.0,120.0,4.0,1.0,late,0.0,121.0,2.0,1.0,late
9003,550036,396532,mobile,ended,2943.0,546881.0,0.0,49.0,3.0,late,2.0,2943.0,49.0,3.0,late
9019,551485,388895,mobile,ended,196.0,551404.0,120.0,3.0,16.0,late,0.0,76.0,1.0,16.0,late
9021,551631,293523,mobile,ended,28.0,547485.0,0.0,0.0,28.0,late,0.0,28.0,0.0,28.0,late
9085,555280,357875,mobile,ended,1357.0,547287.0,360.0,22.0,37.0,late,0.0,997.0,16.0,37.0,late
9106,545797,371387,mobile,ended,1606.0,546641.0,60.0,26.0,46.0,late,1.0,1546.0,25.0,46.0,late
9291,545560,258737,mobile,ended,59.0,542993.0,0.0,0.0,59.0,late,0.0,59.0,0.0,59.0,late
9322,551368,359045,connect,ended,31.0,551957.0,30.0,0.0,31.0,late,0.0,1.0,0.0,1.0,late
9903,549636,336426,mobile,ended,1645.0,549493.0,0.0,27.0,25.0,late,1.0,1645.0,27.0,25.0,late
10002,543138,391379,connect,ended,318.0,538099.0,60.0,5.0,18.0,late,0.0,258.0,4.0,18.0,late
10040,554279,301181,mobile,ended,572.0,553087.0,60.0,9.0,32.0,late,0.0,512.0,8.0,32.0,late
10043,554448,300505,connect,ended,38.0,555637.0,30.0,0.0,38.0,late,0.0,8.0,0.0,8.0,late
10076,543560,394875,mobile,ended,2322.0,540428.0,0.0,38.0,42.0,late,1.0,2322.0,38.0,42.0,late
10085,552987,400689,mobile,ended,7.0,559416.0,0.0,0.0,7.0,late,0.0,7.0,0.0,7.0,late
10146,557956,296227,mobile,ended,220.0,553198.0,30.0,3.0,40.0,late,0.0,190.0,3.0,10.0,late
10163,544607,402562,connect,ended,58.0,548088.0,0.0,0.0,58.0,late,0.0,58.0,0.0,58.0,late
10168,544946,393126,mobile,ended,584.0,540436.0,90.0,9.0,44.0,late,0.0,494.0,8.0,14.0,late
10241,535771,336754,mobile,ended,140.0,538215.0,0.0,2.0,20.0,late,0.0,140.0,2.0,20.0,late
10340,538773,241021,connect,ended,55.0,540159.0,0.0,0.0,55.0,late,0.0,55.0,0.0,55.0,late
10350,539506,390656,connect,ended,11.0,513950.0,0.0,0.0,11.0,late,0.0,11.0,0.0,11.0,late
10398,542755,334190,connect,ended,60.0,534169.0,0.0,1.0,0.0,late,0.0,60.0,1.0,0.0,late
10527,555434,385378,mobile,ended,1634.0,553002.0,210.0,27.0,14.0,late,1.0,1424.0,23.0,44.0,late
10556,557838,383804,connect,ended,117.0,545760.0,60.0,1.0,57.0,late,0.0,57.0,0.0,57.0,late
10633,543910,314456,connect,ended,56.0,542971.0,0.0,0.0,56.0,late,0.0,56.0,0.0,56.0,late
10709,544361,400171,mobile,ended,16.0,534370.0,0.0,0.0,16.0,late,0.0,16.0,0.0,16.0,late
10716,544753,380478,mobile,ended,810.0,526537.0,0.0,13.0,30.0,late,0.0,810.0,13.0,30.0,late
10810,558387,399575,connect,ended,81.0,552753.0,0.0,1.0,21.0,late,0.0,81.0,1.0,21.0,late
10842,560169,367919,connect,ended,15.0,554745.0,0.0,0.0,15.0,late,0.0,15.0,0.0,15.0,late
10900,545582,382060,mobile,ended,6606.0,544670.0,660.0,110.0,6.0,late,4.0,5946.0,99.0,6.0,late
11275,555451,390702,connect,ended,175.0,560568.0,120.0,2.0,55.0,late,0.0,55.0,0.0,55.0,late
11365,551081,341630,mobile,ended,731.0,549811.0,690.0,12.0,11.0,late,0.0,41.0,0.0,41.0,late
11405,560796,407419,connect,ended,26.0,545608.0,0.0,0.0,26.0,late,0.0,26.0,0.0,26.0,late
11518,560466,404731,mobile,ended,1250.0,556577.0,0.0,20.0,50.0,late,0.0,1250.0,20.0,50.0,late
11559,552224,393799,mobile,ended,290.0,531793.0,120.0,4.0,50.0,late,0.0,170.0,2.0,50.0,late
11622,540063,408117,mobile,ended,9787.0,540574.0,90.0,163.0,7.0,late,6.0,9697.0,161.0,37.0,late
11779,569932,321322,mobile,ended,64.0,570206.0,0.0,1.0,4.0,late,0.0,64.0,1.0,4.0,late
11862,568031,394043,mobile,ended,665.0,565470.0,120.0,11.0,5.0,late,0.0,545.0,9.0,5.0,late
11878,569062,364882,connect,ended,42.0,566930.0,0.0,0.0,42.0,late,0.0,42.0,0.0,42.0,late
11893,571752,402235,mobile,ended,34.0,557648.0,0.0,0.0,34.0,late,0.0,34.0,0.0,34.0,late
11982,558627,305525,connect,ended,8.0,559997.0,0.0,0.0,8.0,late,0.0,8.0,0.0,8.0,late
12059,542651,336314,mobile,ended,78.0,535888.0,60.0,1.0,18.0,late,0.0,18.0,0.0,18.0,late
12083,543911,349678,connect,ended,132.0,532779.0,0.0,2.0,12.0,late,0.0,132.0,2.0,12.0,late
12094,544346,377509,mobile,ended,3.0,544659.0,0.0,0.0,3.0,late,0.0,3.0,0.0,3.0,late
12099,544603,401871,connect,ended,246.0,558206.0,0.0,4.0,6.0,late,0.0,246.0,4.0,6.0,late
12332,553900,398802,mobile,ended,8.0,540217.0,0.0,0.0,8.0,late,0.0,8.0,0.0,8.0,late
12334,554042,260745,mobile,ended,72.0,563190.0,30.0,1.0,12.0,late,0.0,42.0,0.0,42.0,late
12602,543524,195986,mobile,ended,26.0,539274.0,0.0,0.0,26.0,late,0.0,26.0,0.0,26.0,late
12801,540134,314456,connect,ended,62.0,543910.0,60.0,1.0,2.0,late,0.0,2.0,0.0,2.0,late
12926,537967,335276,connect,ended,46.0,540855.0,0.0,0.0,46.0,late,0.0,46.0,0.0,46.0,late
13023,556652,394272,mobile,ended,1800.0,545556.0,720.0,30.0,0.0,late,1.0,1080.0,18.0,0.0,late
13035,557220,337311,mobile,ended,17.0,536108.0,0.0,0.0,17.0,late,0.0,17.0,0.0,17.0,late
13157,547668,369881,connect,ended,13.0,535011.0,0.0,0.0,13.0,late,0.0,13.0,0.0,13.0,late
13196,562032,289383,mobile,ended,45.0,560727.0,30.0,0.0,45.0,late,0.0,15.0,0.0,15.0,late
13228,564190,377781,mobile,ended,218.0,560500.0,180.0,3.0,38.0,late,0.0,38.0,0.0,38.0,late
13258,551709,268787,mobile,ended,74.0,551518.0,0.0,1.0,14.0,late,0.0,74.0,1.0,14.0,late
13338,558327,383443,connect,ended,78.0,566342.0,60.0,1.0,18.0,late,0.0,18.0,0.0,18.0,late
13613,540243,352921,connect,ended,6.0,537768.0,0.0,0.0,6.0,late,0.0,6.0,0.0,6.0,late
13733,549521,387976,mobile,ended,17.0,543979.0,0.0,0.0,17.0,late,0.0,17.0,0.0,17.0,late
13862,552207,360551,connect,ended,68.0,550621.0,30.0,1.0,8.0,late,0.0,38.0,0.0,38.0,late
13963,561213,405433,mobile,ended,124.0,564813.0,120.0,2.0,4.0,late,0.0,4.0,0.0,4.0,late
14028,542878,335276,connect,ended,79.0,553825.0,0.0,1.0,19.0,late,0.0,79.0,1.0,19.0,late
14059,559197,400591,mobile,ended,6.0,553823.0,0.0,0.0,6.0,late,0.0,6.0,0.0,6.0,late
14095,568987,391370,connect,ended,42.0,562708.0,0.0,0.0,42.0,late,0.0,42.0,0.0,42.0,late
14117,572088,338940,mobile,ended,1003.0,571451.0,150.0,16.0,43.0,late,0.0,853.0,14.0,13.0,late
14153,554588,343339,mobile,ended,426.0,552212.0,420.0,7.0,6.0,late,0.0,6.0,0.0,6.0,late
14231,560265,174243,mobile,ended,116.0,544959.0,60.0,1.0,56.0,late,0.0,56.0,0.0,56.0,late
14334,563348,225486,connect,ended,97.0,563757.0,0.0,1.0,37.0,late,0.0,97.0,1.0,37.0,late
14435,537064,401649,connect,ended,84.0,562864.0,0.0,1.0,24.0,late,0.0,84.0,1.0,24.0,late
14581,558546,396712,mobile,ended,2733.0,554234.0,420.0,45.0,33.0,late,1.0,2313.0,38.0,33.0,late
14626,561698,312078,connect,ended,45.0,564914.0,0.0,0.0,45.0,late,0.0,45.0,0.0,45.0,late
14640,563001,272724,mobile,ended,263.0,561423.0,240.0,4.0,23.0,late,0.0,23.0,0.0,23.0,late
14648,563454,409274,mobile,ended,76.0,563821.0,30.0,1.0,16.0,late,0.0,46.0,0.0,46.0,late
14680,558905,392683,connect,ended,55.0,553157.0,0.0,0.0,55.0,late,0.0,55.0,0.0,55.0,late
14796,565814,389565,connect,ended,48.0,565397.0,0.0,0.0,48.0,late,0.0,48.0,0.0,48.0,late
14832,568405,353274,mobile,ended,15.0,554676.0,0.0,0.0,15.0,late,0.0,15.0,0.0,15.0,late
14861,573387,412916,mobile,ended,74.0,565754.0,60.0,1.0,14.0,late,0.0,14.0,0.0,14.0,late
14918,568112,395228,mobile,ended,145.0,563130.0,0.0,2.0,25.0,late,0.0,145.0,2.0,25.0,late
14957,573350,301068,mobile,ended,1.0,530691.0,0.0,0.0,1.0,late,0.0,1.0,0.0,1.0,late
15168,544056,289570,mobile,ended,2725.0,534205.0,30.0,45.0,25.0,late,1.0,2695.0,44.0,55.0,late
15173,544158,242437,mobile,ended,3.0,542867.0,0.0,0.0,3.0,late,0.0,3.0,0.0,3.0,late
15264,546214,386880,mobile,ended,1203.0,536671.0,330.0,20.0,3.0,late,0.0,873.0,14.0,33.0,late
15309,549462,381708,connect,ended,142.0,548698.0,60.0,2.0,22.0,late,0.0,82.0,1.0,22.0,late
15482,551724,228703,connect,ended,102.0,549401.0,30.0,1.0,42.0,late,0.0,72.0,1.0,12.0,late
15647,567863,385128,mobile,ended,31.0,543629.0,30.0,0.0,31.0,late,0.0,1.0,0.0,1.0,late
15676,541531,356673,mobile,ended,130.0,539422.0,0.0,2.0,10.0,late,0.0,130.0,2.0,10.0,late
15722,544677,339215,mobile,ended,56.0,544679.0,0.0,0.0,56.0,late,0.0,56.0,0.0,56.0,late
15779,542244,241021,connect,ended,80.0,542010.0,60.0,1.0,20.0,late,0.0,20.0,0.0,20.0,late
15791,542957,276218,mobile,ended,164.0,568490.0,120.0,2.0,44.0,late,0.0,44.0,0.0,44.0,late
16029,551530,412295,mobile,ended,103.0,549505.0,30.0,1.0,43.0,late,0.0,73.0,1.0,13.0,late
16074,554359,350456,mobile,ended,1401.0,547316.0,540.0,23.0,21.0,late,0.0,861.0,14.0,21.0,late
16124,551249,270091,mobile,ended,74.0,546357.0,60.0,1.0,14.0,late,0.0,14.0,0.0,14.0,late
16253,550717,377119,connect,ended,59.0,545344.0,30.0,0.0,59.0,late,0.0,29.0,0.0,29.0,late
16297,546332,214635,connect,ended,31.0,547177.0,0.0,0.0,31.0,late,0.0,31.0,0.0,31.0,late
16326,549277,387223,mobile,ended,57.0,546350.0,30.0,0.0,57.0,late,0.0,27.0,0.0,27.0,late
16329,549461,305876,mobile,ended,17.0,523875.0,0.0,0.0,17.0,late,0.0,17.0,0.0,17.0,late
16363,551169,405005,connect,ended,58.0,544486.0,0.0,0.0,58.0,late,0.0,58.0,0.0,58.0,late
16744,564327,412869,mobile,ended,3098.0,562932.0,90.0,51.0,38.0,late,2.0,3008.0,50.0,8.0,late
16787,550497,392847,connect,ended,141.0,554124.0,0.0,2.0,21.0,late,0.0,141.0,2.0,21.0,late
16797,551313,400293,mobile,ended,88.0,537821.0,0.0,1.0,28.0,late,0.0,88.0,1.0,28.0,late
16823,556063,388795,mobile,ended,101.0,551168.0,90.0,1.0,41.0,late,0.0,11.0,0.0,11.0,late
16873,540509,406902,mobile,ended,35.0,536255.0,30.0,0.0,35.0,late,0.0,5.0,0.0,5.0,late
16878,540779,384193,connect,ended,6.0,550547.0,0.0,0.0,6.0,late,0.0,6.0,0.0,6.0,late
16918,542909,407865,mobile,ended,114.0,535365.0,30.0,1.0,54.0,late,0.0,84.0,1.0,24.0,late
16944,556716,364160,connect,ended,127.0,560217.0,30.0,2.0,7.0,late,0.0,97.0,1.0,37.0,late
16995,559386,395385,mobile,ended,2499.0,556228.0,690.0,41.0,39.0,late,1.0,1809.0,30.0,9.0,late
17043,563382,381754,mobile,ended,463.0,561956.0,120.0,7.0,43.0,late,0.0,343.0,5.0,43.0,late
17061,564601,317683,mobile,ended,93.0,560650.0,30.0,1.0,33.0,late,0.0,63.0,1.0,3.0,late
17258,573651,380019,mobile,ended,363.0,568249.0,120.0,6.0,3.0,late,0.0,243.0,4.0,3.0,late
17279,567609,297832,mobile,ended,5.0,566110.0,0.0,0.0,5.0,late,0.0,5.0,0.0,5.0,late
17318,547078,347208,connect,ended,133.0,545645.0,0.0,2.0,13.0,late,0.0,133.0,2.0,13.0,late
17379,550938,334190,connect,ended,110.0,549759.0,0.0,1.0,50.0,late,0.0,110.0,1.0,50.0,late
17574,555012,398697,mobile,ended,218.0,527035.0,210.0,3.0,38.0,late,0.0,8.0,0.0,8.0,late
17698,553223,398586,connect,ended,172.0,544811.0,30.0,2.0,52.0,late,0.0,142.0,2.0,22.0,late
17855,533792,401649,connect,ended,106.0,546026.0,30.0,1.0,46.0,late,0.0,76.0,1.0,16.0,late
17880,567835,409523,mobile,ended,967.0,565046.0,630.0,16.0,7.0,late,0.0,337.0,5.0,37.0,late
17893,568815,385629,connect,ended,47.0,564703.0,0.0,0.0,47.0,late,0.0,47.0,0.0,47.0,late
17977,543793,408983,mobile,ended,1073.0,540001.0,690.0,17.0,53.0,late,0.0,383.0,6.0,23.0,late
18103,543275,340699,mobile,ended,69.0,521297.0,60.0,1.0,9.0,late,0.0,9.0,0.0,9.0,late
18184,548950,342699,connect,ended,98.0,546290.0,30.0,1.0,38.0,late,0.0,68.0,1.0,8.0,late
18453,559047,392805,mobile,ended,288.0,546762.0,0.0,4.0,48.0,late,0.0,288.0,4.0,48.0,late
18504,563577,236059,mobile,ended,397.0,567616.0,90.0,6.0,37.0,late,0.0,307.0,5.0,7.0,late
18515,564096,310553,connect,ended,3.0,561903.0,0.0,0.0,3.0,late,0.0,3.0,0.0,3.0,late
18535,550814,339371,mobile,ended,536.0,518660.0,90.0,8.0,56.0,late,0.0,446.0,7.0,26.0,late
18652,561806,221830,mobile,ended,967.0,546263.0,600.0,16.0,7.0,late,0.0,367.0,6.0,7.0,late
18705,562977,405611,connect,ended,210.0,558473.0,120.0,3.0,30.0,late,0.0,90.0,1.0,30.0,late
18708,563090,386086,mobile,ended,39.0,560501.0,0.0,0.0,39.0,late,0.0,39.0,0.0,39.0,late
18759,556965,187740,mobile,ended,4.0,556605.0,0.0,0.0,4.0,late,0.0,4.0,0.0,4.0,late
18797,559259,412093,mobile,ended,74.0,553100.0,0.0,1.0,14.0,late,0.0,74.0,1.0,14.0,late
18804,559657,363386,mobile,ended,229.0,555952.0,120.0,3.0,49.0,late,0.0,109.0,1.0,49.0,late
18825,561079,376652,mobile,ended,11.0,560197.0,0.0,0.0,11.0,late,0.0,11.0,0.0,11.0,late
18895,541942,391618,connect,ended,144.0,531518.0,60.0,2.0,24.0,late,0.0,84.0,1.0,24.0,late
18909,543008,363761,mobile,ended,1341.0,567693.0,720.0,22.0,21.0,late,0.0,621.0,10.0,21.0,late
19056,555454,381183,mobile,ended,232.0,552738.0,60.0,3.0,52.0,late,0.0,172.0,2.0,52.0,late
19075,565509,381183,mobile,ended,44.0,562526.0,0.0,0.0,44.0,late,0.0,44.0,0.0,44.0,late
19083,566159,390479,mobile,ended,134.0,564323.0,0.0,2.0,14.0,late,0.0,134.0,2.0,14.0,late
19141,564699,415572,mobile,ended,2193.0,565228.0,240.0,36.0,33.0,late,1.0,1953.0,32.0,33.0,late
